target	scenario	cycle	position	arm	policy	mean_us
js	large/whitespace	1	4	A	always_changed	2740.0
js	medium/early-changing	1	1	A	always_changed	489.37
js	medium/early-changing	1	2	B	eq_cutoff	444.82
js	medium/early-changing	1	3	B	eq_cutoff	434.47
js	medium/early-changing	1	4	A	always_changed	464.5
js	medium/late-changing	1	1	A	always_changed	474.11
js	medium/late-changing	1	2	B	eq_cutoff	469.97
js	medium/late-changing	1	3	B	eq_cutoff	467.15
js	medium/late-changing	1	4	A	always_changed	470.23
js	large/early-changing	1	1	A	always_changed	2180.0
js	large/early-changing	1	2	B	eq_cutoff	2170.0
js	large/early-changing	1	3	B	eq_cutoff	2190.0
js	large/early-changing	1	4	A	always_changed	2160.0
js	large/late-changing	1	1	A	always_changed	2270.0
js	large/late-changing	1	2	B	eq_cutoff	2870.0
js	large/late-changing	1	3	B	eq_cutoff	2220.0
js	large/late-changing	1	4	A	always_changed	2300.0
js	medium/mixed-50	1	1	A	always_changed	2240.0
js	medium/mixed-50	1	2	B	eq_cutoff	2140.0
js	medium/mixed-50	1	3	B	eq_cutoff	2170.0
js	medium/mixed-50	1	4	A	always_changed	2280.0
js	large/mixed-50	1	1	A	always_changed	10580.0
js	large/mixed-50	1	2	B	eq_cutoff	9360.0
js	large/mixed-50	1	3	B	eq_cutoff	10120.0
js	large/mixed-50	1	4	A	always_changed	11650.0
js	medium/whitespace	2	1	B	eq_cutoff	547.86
js	medium/whitespace	2	2	A	always_changed	583.72
js	medium/whitespace	2	3	A	always_changed	534.07
js	medium/whitespace	2	4	B	eq_cutoff	475.45
js	large/whitespace	2	1	B	eq_cutoff	2580.0
js	large/whitespace	2	2	A	always_changed	2640.0
js	large/whitespace	2	3	A	always_changed	2460.0
js	large/whitespace	2	4	B	eq_cutoff	2020.0
js	medium/early-changing	2	1	B	eq_cutoff	466.85
js	medium/early-changing	2	2	A	always_changed	446.99
js	medium/early-changing	2	3	A	always_changed	483.44
js	medium/early-changing	2	4	B	eq_cutoff	444.63
js	medium/late-changing	2	1	B	eq_cutoff	465.38
js	medium/late-changing	2	2	A	always_changed	497.5
js	medium/late-changing	2	3	A	always_changed	448.9
js	medium/late-changing	2	4	B	eq_cutoff	483.39
js	large/early-changing	2	1	B	eq_cutoff	2290.0
js	large/early-changing	2	2	A	always_changed	2380.0
js	large/early-changing	2	3	A	always_changed	2310.0
js	large/early-changing	2	4	B	eq_cutoff	2250.0
js	large/late-changing	2	1	B	eq_cutoff	2210.0
js	large/late-changing	2	2	A	always_changed	2250.0
js	large/late-changing	2	3	A	always_changed	2310.0
js	large/late-changing	2	4	B	eq_cutoff	2470.0
js	medium/mixed-50	2	1	B	eq_cutoff	2160.0
js	medium/mixed-50	2	2	A	always_changed	1970.0
js	medium/mixed-50	2	3	A	always_changed	1960.0
js	medium/mixed-50	2	4	B	eq_cutoff	1890.0
js	large/mixed-50	2	1	B	eq_cutoff	8600.0
js	large/mixed-50	2	2	A	always_changed	9110.0
js	large/mixed-50	2	3	A	always_changed	9260.0
js	large/mixed-50	2	4	B	eq_cutoff	9080.0
js	medium/whitespace	3	1	A	always_changed	443.16
js	medium/whitespace	3	2	B	eq_cutoff	453.71
js	medium/whitespace	3	3	B	eq_cutoff	432.47
js	medium/whitespace	3	4	A	always_changed	436.01
js	large/whitespace	3	1	A	always_changed	2150.0
js	large/whitespace	3	2	B	eq_cutoff	1950.0
js	large/whitespace	3	3	B	eq_cutoff	2020.0
js	large/whitespace	3	4	A	always_changed	2180.0
js	medium/early-changing	3	1	A	always_changed	442.28
js	medium/early-changing	3	2	B	eq_cutoff	458.64
js	medium/early-changing	3	3	B	eq_cutoff	483.39
js	medium/early-changing	3	4	A	always_changed	442.69
js	medium/late-changing	3	1	A	always_changed	451.68
js	medium/late-changing	3	2	B	eq_cutoff	455.47
js	medium/late-changing	3	3	B	eq_cutoff	455.07
js	medium/late-changing	3	4	A	always_changed	443.33
js	large/early-changing	3	1	A	always_changed	2380.0
js	large/early-changing	3	2	B	eq_cutoff	2210.0
js	large/early-changing	3	3	B	eq_cutoff	2220.0
js	large/early-changing	3	4	A	always_changed	2190.0
js	large/late-changing	3	1	A	always_changed	2280.0
js	large/late-changing	3	2	B	eq_cutoff	2270.0
js	large/late-changing	3	3	B	eq_cutoff	2480.0
js	large/late-changing	3	4	A	always_changed	2580.0
js	medium/mixed-50	3	1	A	always_changed	2200.0
js	medium/mixed-50	3	2	B	eq_cutoff	1900.0
js	medium/mixed-50	3	3	B	eq_cutoff	1880.0
js	medium/mixed-50	3	4	A	always_changed	1990.0
js	large/mixed-50	3	1	A	always_changed	10250.0
js	large/mixed-50	3	2	B	eq_cutoff	9320.0
js	large/mixed-50	3	3	B	eq_cutoff	8880.0
js	large/mixed-50	3	4	A	always_changed	9360.0
