run=cold	structure	target=1000	bytes=1050	phase=parse	n=3	median_ms=87.202	p95_ms=96.781	max_ms=97.846
run=warm	structure	target=1000	bytes=1050	phase=parse	n=20	median_ms=2.747	p95_ms=6.731	max_ms=9.746
run=cold	structure	target=10000	bytes=10025	phase=extract	n=3	median_ms=274.136	p95_ms=300.761	max_ms=303.719
run=warm	structure	target=10000	bytes=10025	phase=extract	n=20	median_ms=33.433	p95_ms=53.829	max_ms=54.338
run=cold	structure	target=10000	bytes=10025	phase=ir	n=3	median_ms=67.960	p95_ms=83.636	max_ms=85.378
run=warm	structure	target=10000	bytes=10025	phase=ir	n=20	median_ms=12.024	p95_ms=26.738	max_ms=29.154
run=cold	structure	target=10000	bytes=10025	phase=parse	n=3	median_ms=174.991	p95_ms=301.977	max_ms=316.087
run=warm	structure	target=10000	bytes=10025	phase=parse	n=20	median_ms=19.464	p95_ms=30.481	max_ms=32.214
run=cold	structure	target=50000	bytes=50010	phase=extract	n=3	median_ms=515.571	p95_ms=523.989	max_ms=524.924
run=warm	structure	target=50000	bytes=50010	phase=extract	n=20	median_ms=136.835	p95_ms=160.959	max_ms=189.711
run=cold	structure	target=50000	bytes=50010	phase=ir	n=3	median_ms=178.859	p95_ms=181.163	max_ms=181.420
run=warm	structure	target=50000	bytes=50010	phase=ir	n=20	median_ms=47.056	p95_ms=77.503	max_ms=90.652
run=cold	structure	target=50000	bytes=50010	phase=parse	n=3	median_ms=397.470	p95_ms=429.012	max_ms=432.517
run=warm	structure	target=50000	bytes=50010	phase=parse	n=20	median_ms=87.469	p95_ms=105.183	max_ms=128.867
run=cold	structure	target=100000	bytes=100090	phase=extract	n=3	median_ms=1463.052	p95_ms=1475.206	max_ms=1476.556
run=warm	structure	target=100000	bytes=100090	phase=extract	n=20	median_ms=277.555	p95_ms=326.713	max_ms=382.561
run=cold	structure	target=100000	bytes=100090	phase=ir	n=3	median_ms=103.079	p95_ms=317.046	max_ms=340.821
run=warm	structure	target=100000	bytes=100090	phase=ir	n=20	median_ms=96.561	p95_ms=151.756	max_ms=153.217
run=cold	structure	target=100000	bytes=100090	phase=parse	n=3	median_ms=198.129	p95_ms=266.182	max_ms=273.743
run=warm	structure	target=100000	bytes=100090	phase=parse	n=20	median_ms=65.218	p95_ms=83.189	max_ms=88.166
run=cold	structure	target=250000	bytes=250035	phase=extract	n=3	median_ms=2017.177	p95_ms=2090.123	max_ms=2098.229
run=warm	structure	target=250000	bytes=250035	phase=extract	n=20	median_ms=1452.997	p95_ms=2258.425	max_ms=2463.134
run=cold	structure	target=250000	bytes=250035	phase=ir	n=3	median_ms=691.294	p95_ms=787.974	max_ms=798.716
run=warm	structure	target=250000	bytes=250035	phase=ir	n=20	median_ms=320.366	p95_ms=471.418	max_ms=494.889
run=cold	structure	target=250000	bytes=250035	phase=parse	n=3	median_ms=1093.265	p95_ms=1249.289	max_ms=1266.625
run=warm	structure	target=250000	bytes=250035	phase=parse	n=20	median_ms=716.139	p95_ms=1059.272	max_ms=1211.649
run=cold	structure	target=500000	bytes=500010	phase=extract	n=3	median_ms=3675.472	p95_ms=3752.856	max_ms=3761.454
run=warm	structure	target=500000	bytes=500010	phase=extract	n=20	median_ms=1598.503	p95_ms=1849.960	max_ms=1858.588
run=cold	structure	target=500000	bytes=500010	phase=ir	n=3	median_ms=1246.899	p95_ms=1407.122	max_ms=1424.924
run=warm	structure	target=500000	bytes=500010	phase=ir	n=20	median_ms=669.756	p95_ms=980.791	max_ms=1060.460
run=cold	structure	target=500000	bytes=500010	phase=parse	n=3	median_ms=1814.953	p95_ms=2486.498	max_ms=2561.114
run=warm	structure	target=500000	bytes=500010	phase=parse	n=20	median_ms=1028.711	p95_ms=1328.355	max_ms=1405.915
run=cold	structure	target=1270000	bytes=1270065	phase=extract	n=3	median_ms=7107.404	p95_ms=7359.342	max_ms=7387.335
run=warm	structure	target=1270000	bytes=1270065	phase=extract	n=20	median_ms=4531.894	p95_ms=5724.398	max_ms=6075.393
run=cold	structure	target=1270000	bytes=1270065	phase=ir	n=3	median_ms=2567.214	p95_ms=2573.575	max_ms=2574.282
run=warm	structure	target=1270000	bytes=1270065	phase=ir	n=20	median_ms=1906.297	p95_ms=2129.641	max_ms=2134.736
run=cold	structure	target=1270000	bytes=1270065	phase=parse	n=3	median_ms=4785.089	p95_ms=7639.802	max_ms=7956.992
run=warm	structure	target=1270000	bytes=1270065	phase=parse	n=20	median_ms=3274.050	p95_ms=3946.894	max_ms=4479.763
